ts,symbol,weight,dw,abs_dw,txn_cost,slippage_cost,cost
2016-02-16,TLT,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-16,USO,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-16,XLF,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-16,XLK,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-17,EEM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-17,EFA,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-17,GLD,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-17,IWM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-17,QQQ,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-17,SPY,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-17,TLT,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-17,USO,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-17,XLF,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-17,XLK,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-18,EEM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-18,EFA,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-18,GLD,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-18,IWM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-18,QQQ,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-18,SPY,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-18,TLT,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-18,USO,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-18,XLF,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-18,XLK,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-19,EEM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-19,EFA,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-19,GLD,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-19,IWM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-19,QQQ,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-19,SPY,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-19,TLT,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-19,USO,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-19,XLF,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-19,XLK,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-22,EEM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-22,EFA,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-22,GLD,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-22,IWM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-22,QQQ,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-22,SPY,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-22,TLT,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-22,USO,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-22,XLF,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-22,XLK,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-23,EEM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-23,EFA,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-23,GLD,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-23,IWM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-23,QQQ,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-23,SPY,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-23,TLT,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-23,USO,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-23,XLF,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-23,XLK,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-24,EEM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-24,EFA,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-24,GLD,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-24,IWM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-24,QQQ,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-24,SPY,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-24,TLT,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-24,USO,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-24,XLF,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-24,XLK,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-25,EEM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-25,EFA,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-25,GLD,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-25,IWM,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-25,QQQ,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-25,SPY,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-25,TLT,0.0,0.0,0.0,0.0,0.0,0.0
